name,state,iata_code,lat,long
Quillayute Airport,WA,UIL,47.9366,-124.563
Quincy Regional Baldwin Field,IL,UIN,39.9427,-91.1946
Berz-Macomb Airport,MI,UIZ,42.6639,-82.9654
Wilkes County Airport,NC,IKB,36.2228,-81.0983
Ukiah Municipal Airport,CA,UKI,39.126,-123.201
Quakertown Airport,PA,UKT,40.4352,-75.3819
New Ulm Municipal Airport,MN,ULM,44.3196,-94.5023
Ohio University Snyder Field,OH,ATO,39.211,-82.2314
Dodge County Airport,WI,UNU,43.4266,-88.7032
University Park Airport,PA,SCE,40.8493,-77.8487
Franklin County Airport,TN,UOS,35.2051,-85.8981
University Oxford Airport,MS,UOX,34.3843,-89.5368
Tunica Municipal Airport,MS,UTM,34.681,-90.3467
Huntsville Regional Airport,TX,HTV,30.7469,-95.5872
Newport State Airport,RI,NPT,41.5324,-71.2815
Garner Field,TX,UVA,29.2113,-99.7436
Rock Hill - York County Airport,SC,RKH,34.9878,-81.0572
Moody Air Force Base,GA,VAD,30.9678,-83.193
South Jersey Regional Airport,NJ,LLY,39.9429,-74.8457
Vandenberg Air Force Base,CA,VBG,34.7373,-120.584
Victoria Regional Airport,TX,VCT,28.8526,-96.9185
Southern California Logistics Airport,CA,VCV,34.5975,-117.383
Vidalia Regional Airport,GA,VDI,32.1927,-82.3712
Vernal Regional Airport,UT,VEL,40.4409,-109.51
North Las Vegas Airport,NV,VGT,36.2107,-115.194
Culberson County Airport,TX,VHN,31.0578,-104.784
Rolla National Airport,MO,VIH,38.1274,-91.7695
Visalia Municipal Airport,CA,VIS,36.3187,-119.393
Virginia Highlands Airport,VA,VJI,36.6871,-82.0333
Vicksburg Municipal Airport,MS,VKS,32.2393,-90.9284
Vandalia Municipal Airport,IL,VLA,38.9915,-89.1662
Valdosta Regional Airport,GA,VLD,30.7825,-83.2767
Venice Municipal Airport,FL,VNC,27.0716,-82.4403
Van Nuys Airport,CA,VNY,34.2098,-118.49
Volk Field,WI,VOK,43.939,-90.2534
Destin-Ft Walton Beach Airport,FL,VPS,30.4832,-86.5254
Porter County Municipal Airport,IN,VPZ,41.454,-87.0071
Cecil Airport,FL,VQQ,30.2187,-81.8767
Vero Beach Regional Airport,FL,VRB,27.6556,-80.4179
Hartness State (Springfield) Airport,VT,VSF,43.3436,-72.5173
Miller Field,NE,VTN,42.8578,-100.548
Illinois Valley Regional Airport-Walter A Duncan Field,IL,VYS,41.3519,-89.1531
Gettysburg Regional Airport,PA,GTY,39.8409,-77.2742
Sequim Valley Airport,WA,SQV,48.0981,-123.187
Grant County Airport,WV,PGC,38.9949,-79.1459
Wallops Flight Facility Airport,VA,WAL,37.9402,-75.4664
Greene County Airport,PA,WAY,39.9001,-80.1331
Wilkes Barre Wyoming Valley Airport,PA,WBW,41.2972,-75.8512
Enid Woodring Regional Airport,OK,WDG,36.3792,-97.7911
Barrow County Airport,GA,WDR,33.9829,-83.6674
Waterfall Seaplane Base,AK,KWF,55.2963,-133.243
Whiteman Airport,CA,WHP,34.2593,-118.413
General WM J Fox Airfield,CA,WJF,34.7411,-118.219
Strother Field,KS,WLD,37.1686,-97.0376
Willows Glenn County Airport,CA,WLW,39.5164,-122.218
Winnemucca Municipal Airport,NV,WMC,40.8966,-117.806
West Point Village Seaplane Base,AK,KWP,57.7701,-153.549
Robins Air Force Base,GA,WRB,32.6401,-83.5919
Mc Guire Air Force Base,NJ,WRI,40.0156,-74.5917
Worland Municipal Airport,WY,WRL,43.9657,-107.951
Condron Army Air Field,NM,WSD,32.3415,-106.403
Westerly State Airport,RI,WST,41.3496,-71.8034
Watsonville Municipal Airport,CA,WVI,36.9357,-121.79
Waterville Robert Lafleur Airport,ME,WVL,44.5332,-69.6755
Cape May County Airport,NJ,WWD,39.0085,-74.9083
West Woodward Airport,OK,WWR,36.438,-99.5227
Yellowstone Airport,MT,WYS,44.6884,-111.118
Tampa North Aero Park Airport,FL,KYO,28.2213,-82.3745
Kasaan Seaplane Base,AK,KXA,55.5374,-132.398
Northwest Arkansas Regional Airport,AR,XNA,36.2819,-94.3068
West Branch Community Airport,MI,WBK,44.2448,-84.1798
Willow Run Airport,MI,YIP,42.2379,-83.5304
Yakima Air Terminal McAllister Field,WA,YKM,46.5682,-120.544
Chan Gurney Municipal Airport,SD,YKN,42.9167,-97.3859
Port Largo Airport,FL,KYL,25.0933,-80.4299
Youngstown Warren Regional Airport,OH,YNG,41.2607,-80.6791
Zachar Bay Seaplane Base,AK,KZB,57.553,-153.7461
Zephyrhills Municipal Airport,FL,ZPH,28.2282,-82.1559
Zanesville Municipal Airport,OH,ZZV,39.9444,-81.8921
Lowe AHP (Fort Rucker) Heliport,AL,LOR,31.3558,-85.7512
Sharpe AAF,CA,LRO,37.8379,-121.2728
Lathrop Wells Airport / Jackass Aeropark,NV,LTH,36.6342,-116.4135
Drummond Airport,MT,DRU,46.6208,-113.205
Ware Airport,MA,UWA,42.282,-72.2148
